Telstra ID,Ticket Type,Cycle Status,Service,Assignment Group,Reporting Region,Priority,CEC,Open Date Time,Assignee,Resolved/Closed Date,Category,Status,Parent ID,Site Name,Update Time,Known Error
CH-0422,Ch - Normal,Suspended,Video,PROCESS MOBILES SERVCES,,3,JD52,23/9/2022,John.Doe@domain.com,29/10/2022 12:29,Change,Closed,,Site Name 70,29/10/2022 12:29,
CH-0424,Ch - Service Request,Closed,Voice,PROCESS VOICE SERVICES,,3,9GF,23/9/2022,Jane Doe,,Change,Open,,Site Name 69,24/09/2022 00:00,
CH-0426,Ch - Normal,Opened,Mobile,PROCESS MOBILES SERVCES,,4,ZX2,23/9/2022,Jane.Doe@domain.com,30/10/2022 0:29,Change,Closed,,Site Name 68,30/10/2022 00:29,
CH-0428,Ch - Service Request,Closed,Video,PROCESS MOBILES SERVCES,,2,ZX2,23/9/2022,Jane Doe,,Change,Open,,,05/10/2022 00:00,
CH-0430,Ch - Normal,Suspended,Voice,PROCESS MOBILES SERVCES,,4,JD52,24/9/2022,Jane.Doe@domain.com,29/10/2022 12:29,Change,Closed,,,29/10/2022 12:29,
CH-0432,Ch - Service Request,Opened,Mobile,PROCESS VIDEO SERVICES,,,5AD,24/9/2022,Jane Doe,29/10/2022 12:29,Change,Closed,,,29/10/2022 12:29,
CH-0434,Ch - Normal,Suspended,Video,PROCESS MOBILES SERVCES,,,ZX2,24/9/2022,,,Change,Open,,0,03/10/2022 00:00,
CH-0436,Ch - Service Request,Closed,Voice,PROCESS MOBILES SERVCES,,4,JD52,24/9/2022,,30/10/2022 0:29,Change,Closed,,0,30/10/2022 00:29,
CH-0438,Ch - Normal,Opened,Mobile,PROCESS VOICE SERVICES,,2,ZX2,25/9/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 69,13/10/2022 00:00,
CH-0440,Ch - Service Request,Closed,Video,PROCESS MOBILES SERVCES,,4,9GF,25/9/2022,Jane Doe,30/10/2022 17:17,Change,Closed,,Site Name 70,30/10/2022 17:17,
CH-0442,Ch - Normal,Suspended,Voice,PROCESS VOICE SERVICES,,3,JD53,25/9/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 71,02/10/2022 00:00,
CH-0444,Ch - Service Request,Opened,Mobile,PROCESS VOICE SERVICES,,3,ZX46,25/9/2022,Jane Doe,,Change,Open,,Site Name 70,08/10/2022 00:00,
CH-0446,Ch - Normal,Suspended,Video,PROCESS VIDEO SERVICES,,4,5AD,26/9/2022,,31/10/2022 11:17,Change,Closed,,Site Name 69,31/10/2022 11:17,
CH-0448,Ch - Service Request,Closed,Voice,PROCESS MOBILES SERVCES,,4,5AD,26/9/2022,,,Change,Open,,,15/10/2022 00:00,
CH-0450,Ch - Normal,Opened,Mobile,PROCESS VIDEO SERVICES,,2,ZX46,26/9/2022,John Doe,31/10/2022 17:17,Change,Closed,,,31/10/2022 17:17,
CH-0452,Ch - Service Request,Closed,Video,PROCESS VIDEO SERVICES,,3,JD53,26/9/2022,Jane.Doe@domain.com,30/10/2022 12:29,Change,Closed,,,30/10/2022 12:29,
CH-0454,Ch - Normal,Suspended,Voice,PROCESS MOBILES SERVCES,,2,9GF,27/9/2022,Jane Doe,,Change,Open,,0,02/10/2022 00:00,
CH-0456,Ch - Service Request,Opened,Mobile,PROCESS VOICE SERVICES,,,ZX2,27/9/2022,John.Doe@domain.com,31/10/2022 0:29,Change,Closed,,0,31/10/2022 00:29,
CH-0458,Ch - Normal,Suspended,Video,PROCESS MOBILES SERVCES,,,ZX2,27/9/2022,Jane Doe,,Change,Open,,Site Name 70,15/10/2022 00:00,
CH-0460,Ch - Service Request,Closed,Voice,PROCESS MOBILES SERVCES,,2,JD53,27/9/2022,Jane.Doe@domain.com,30/10/2022 12:29,Change,Closed,,Site Name 71,30/10/2022 12:29,
CH-0462,Ch - Normal,Opened,Mobile,PROCESS MOBILES SERVCES,,3,5AD,28/9/2022,Jane Doe,30/10/2022 12:29,Change,Closed,,Site Name 72,30/10/2022 12:29,
CH-0464,Ch - Service Request,Closed,Video,PROCESS VIDEO SERVICES,,2,ZX2,28/9/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 71,15/10/2022 00:00,
CH-0466,Ch - Normal,Suspended,Voice,PROCESS MOBILES SERVCES,,4,JD53,28/9/2022,Jane Doe,31/10/2022 0:29,Change,Closed,,Site Name 70,31/10/2022 00:29,
CH-0468,Ch - Service Request,Opened,Mobile,PROCESS MOBILES SERVCES,,4,ZX2,28/9/2022,,,Change,Open,,,29/09/2022 00:00,
CH-0470,Ch - Normal,Suspended,Video,PROCESS VOICE SERVICES,,2,9GF,29/9/2022,,31/10/2022 17:17,Change,Closed,,,31/10/2022 17:17,
CH-0472,Ch - Service Request,Closed,Voice,PROCESS MOBILES SERVCES,,2,JD54,29/9/2022,Jane.Doe@domain.com,,Change,Open,,,09/10/2022 00:00,
CH-0474,Ch - Normal,Opened,Mobile,PROCESS VOICE SERVICES,,3,ZX47,29/9/2022,Jane Doe,,Change,Open,,0,19/10/2022 00:00,
CH-0476,Ch - Service Request,Closed,Video,PROCESS VOICE SERVICES,,4,5AD,29/9/2022,Jane.Doe@domain.com,1/11/2022 11:17,Change,Closed,,0,01/11/2022 11:17,
CH-0478,Ch - Normal,Suspended,Voice,PROCESS VIDEO SERVICES,,3,5AD,30/9/2022,Jane Doe,,Change,Open,,Site Name 71,15/10/2022 00:00,
CH-0480,Ch - Service Request,Opened,Mobile,PROCESS MOBILES SERVCES,,,ZX47,30/9/2022,,1/11/2022 17:17,Change,Closed,,Site Name 72,01/11/2022 17:17,
CH-0482,Ch - Normal,Suspended,Video,PROCESS VIDEO SERVICES,,,JD54,30/9/2022,,31/10/2022 12:29,Change,Closed,,Site Name 73,31/10/2022 12:29,
CH-0484,Ch - Service Request,Closed,Voice,PROCESS VIDEO SERVICES,,3,9GF,30/9/2022,John Doe,,Change,Open,,Site Name 72,02/10/2022 00:00,
CH-0486,Ch - Normal,Opened,Mobile,PROCESS MOBILES SERVCES,,4,ZX2,1/10/2022,Jane.Doe@domain.com,1/11/2022 0:29,Change,Closed,,Site Name 71,01/11/2022 00:29,
CH-0488,Ch - Service Request,Closed,Video,PROCESS VOICE SERVICES,,3,ZX2,1/10/2022,Jane Doe,,Change,Open,,,04/10/2022 00:00,
CH-0490,Ch - Normal,Suspended,Voice,PROCESS MOBILES SERVCES,,2,JD54,1/10/2022,John.Doe@domain.com,31/10/2022 12:29,Change,Closed,,,31/10/2022 12:29,
CH-0492,Ch - Service Request,Opened,Mobile,PROCESS MOBILES SERVCES,,2,5AD,1/10/2022,Jane Doe,31/10/2022 12:29,Change,Closed,,,31/10/2022 12:29,
CH-0494,Ch - Normal,Suspended,Video,PROCESS MOBILES SERVCES,,3,ZX2,2/10/2022,Jane.Doe@domain.com,,Change,Open,,0,25/10/2022 00:00,
CH-0496,Ch - Service Request,Closed,Voice,PROCESS VIDEO SERVICES,,3,JD54,2/10/2022,Jane Doe,1/11/2022 0:29,Change,Closed,,0,01/11/2022 00:29,
CH-0498,Ch - Normal,Opened,Mobile,PROCESS MOBILES SERVCES,,4,ZX2,2/10/2022,Jane.Doe@domain.com,,Change,Open,,Site Name 72,05/10/2022 00:00,
CH-0500,Ch - Service Request,Closed,Video,PROCESS MOBILES SERVCES,,2,9GF,2/10/2022,Jane Doe,1/11/2022 17:17,Change,Closed,,Site Name 73,01/11/2022 17:17,
INC-0001,Incident,Suspended,Voice,PROCESS VOICE SERVICES,,4,JD55,3/10/2022,,,Incident,Open,,Site Name 74,24/10/2022 00:00,
INC-0002,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,,ZX48,3/10/2022,,,Incident,Open,,Site Name 73,05/10/2022 00:00,
INC-0003,Incident,Suspended,Video,PROCESS VOICE SERVICES,,,5AD,3/10/2022,Jane.Doe@domain.com,2/11/2022 11:17,Incident,Closed,,Site Name 72,02/11/2022 11:17,
INC-0004,Incident,Closed,Voice,PROCESS VOICE SERVICES,,4,5AD,3/10/2022,Jane Doe,,Incident,Open,,,09/10/2022 00:00,
INC-0005,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,2,ZX48,4/10/2022,Jane.Doe@domain.com,2/11/2022 17:17,Incident,Closed,,,02/11/2022 17:17,
INC-0006,Incident,Closed,Video,PROCESS MOBILES SERVCES,,4,JD55,4/10/2022,Jane Doe,1/11/2022 12:29,Incident,Closed,,,01/11/2022 12:29,
INC-0007,Incident,Suspended,Voice,PROCESS VIDEO SERVICES,,3,9GF,4/10/2022,,,Incident,Open,,0,15/10/2022 00:00,
INC-0008,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,3,ZX2,4/10/2022,,2/11/2022 0:29,Incident,Closed,,0,02/11/2022 00:29,
INC-0009,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,4,ZX2,5/10/2022,John Doe,,Incident,Open,,Site Name 73,06/10/2022 00:00,
INC-0010,Incident,Closed,Voice,PROCESS VOICE SERVICES,,4,JD55,5/10/2022,Jane.Doe@domain.com,1/11/2022 12:29,Incident,Closed,,Site Name 74,01/11/2022 12:29,
INC-0011,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,2,5AD,5/10/2022,Jane Doe,1/11/2022 12:29,Incident,Closed,,Site Name 75,01/11/2022 12:29,
INC-0012,Incident,Closed,Video,PROCESS MOBILES SERVCES,,3,ZX2,5/10/2022,John.Doe@domain.com,,Incident,Open,,Site Name 74,21/10/2022 00:00,
INC-0013,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,2,JD55,6/10/2022,Jane Doe,2/11/2022 0:29,Incident,Closed,,Site Name 73,02/11/2022 00:29,
INC-0014,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,,ZX2,6/10/2022,Jane.Doe@domain.com,,Incident,Open,,,29/10/2022 00:00,
INC-0015,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,,9GF,6/10/2022,Jane Doe,2/11/2022 17:17,Incident,Closed,,,02/11/2022 17:17,
INC-0016,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,2,JD56,6/10/2022,Jane.Doe@domain.com,,Incident,Open,,,27/10/2022 00:00,
INC-0017,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,3,ZX49,7/10/2022,Jane Doe,,Incident,Open,,0,14/10/2022 00:00,
INC-0018,Incident,Closed,Video,PROCESS MOBILES SERVCES,,2,5AD,7/10/2022,,3/11/2022 11:17,Incident,Closed,,0,03/11/2022 11:17,
INC-0019,Incident,Suspended,Voice,PROCESS VOICE SERVICES,,4,5AD,7/10/2022,,,Incident,Open,,Site Name 74,09/10/2022 00:00,
INC-0020,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,4,ZX49,7/10/2022,Jane.Doe@domain.com,3/11/2022 17:17,Incident,Closed,,Site Name 75,03/11/2022 17:17,
INC-0021,Incident,Suspended,Video,PROCESS VIDEO SERVICES,,2,JD56,8/10/2022,Jane Doe,2/11/2022 12:29,Incident,Closed,,Site Name 76,02/11/2022 12:29,
INC-0022,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,2,9GF,8/10/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 75,16/10/2022 00:00,
INC-0023,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,3,ZX2,8/10/2022,Jane Doe,3/11/2022 0:29,Incident,Closed,,Site Name 74,03/11/2022 00:29,
INC-0024,Incident,Closed,Video,PROCESS VIDEO SERVICES,,4,ZX2,8/10/2022,,,Incident,Open,,,19/10/2022 00:00,
INC-0025,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,3,JD56,9/10/2022,,2/11/2022 12:29,Incident,Closed,,,02/11/2022 12:29,
INC-0026,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,,5AD,9/10/2022,John Doe,2/11/2022 12:29,Incident,Closed,,,02/11/2022 12:29,
INC-0027,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,,ZX2,9/10/2022,Jane.Doe@domain.com,,Incident,Open,,0,20/10/2022 00:00,
INC-0028,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,3,JD56,9/10/2022,Jane Doe,3/11/2022 0:29,Incident,Closed,,0,03/11/2022 00:29,
INC-0029,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,4,ZX2,10/10/2022,John.Doe@domain.com,,Incident,Open,,Site Name 75,23/10/2022 00:00,
INC-0030,Incident,Closed,Video,PROCESS VIDEO SERVICES,,3,9GF,10/10/2022,Jane Doe,3/11/2022 17:17,Incident,Closed,,Site Name 76,03/11/2022 17:17,
INC-0031,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,2,JD57,10/10/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 77,01/11/2022 00:00,
INC-0032,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,2,ZX50,10/10/2022,Jane Doe,,Incident,Open,,Site Name 76,26/10/2022 00:00,
INC-0033,Incident,Suspended,Video,PROCESS VOICE SERVICES,,3,5AD,11/10/2022,Jane.Doe@domain.com,4/11/2022 11:17,Incident,Closed,,Site Name 75,04/11/2022 11:17,
INC-0034,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,3,5AD,11/10/2022,Jane Doe,,Incident,Open,,,02/11/2022 00:00,
INC-0035,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,4,ZX50,11/10/2022,,4/11/2022 17:17,Incident,Closed,,,04/11/2022 17:17,
INC-0036,Incident,Closed,Video,PROCESS VOICE SERVICES,,2,JD57,11/10/2022,,3/11/2022 12:29,Incident,Closed,,,03/11/2022 12:29,
INC-0037,Incident,Suspended,Voice,PROCESS VIDEO SERVICES,,4,9GF,12/10/2022,Jane.Doe@domain.com,,Incident,Open,,0,23/10/2022 00:00,
INC-0038,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,,ZX2,12/10/2022,Jane Doe,4/11/2022 0:29,Incident,Closed,,0,04/11/2022 00:29,
INC-0039,Incident,Suspended,Video,PROCESS VIDEO SERVICES,,,ZX2,12/10/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 76,30/10/2022 00:00,
INC-0040,Incident,Closed,Voice,PROCESS VIDEO SERVICES,,4,JD57,12/10/2022,Jane Doe,3/11/2022 12:29,Incident,Closed,,Site Name 77,03/11/2022 12:29,
INC-0041,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,2,5AD,13/10/2022,,3/11/2022 12:29,Incident,Closed,,Site Name 78,03/11/2022 12:29,
INC-0042,Incident,Closed,Video,PROCESS VOICE SERVICES,,4,ZX2,13/10/2022,,,Incident,Open,,Site Name 77,24/10/2022 00:00,
INC-0043,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,3,JD57,13/10/2022,John Doe,4/11/2022 0:29,Incident,Closed,,Site Name 76,04/11/2022 00:29,
INC-0044,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,3,ZX2,13/10/2022,Jane.Doe@domain.com,,Incident,Open,,,19/10/2022 00:00,
INC-0045,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,4,9GF,14/10/2022,Jane Doe,4/11/2022 17:17,Incident,Closed,,,04/11/2022 17:17,
INC-0046,Incident,Closed,Voice,PROCESS VIDEO SERVICES,,4,JD58,14/10/2022,John.Doe@domain.com,,Incident,Open,,,16/10/2022 00:00,
INC-0047,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,2,ZX51,14/10/2022,Jane Doe,,Incident,Open,,0,06/11/2022 00:00,
INC-0048,Incident,Closed,Video,PROCESS MOBILES SERVCES,,3,5AD,14/10/2022,Jane.Doe@domain.com,5/11/2022 11:17,Incident,Closed,,0,05/11/2022 11:17,
INC-0049,Incident,Suspended,Voice,PROCESS VOICE SERVICES,,2,5AD,15/10/2022,Jane Doe,,Incident,Open,,Site Name 77,27/10/2022 00:00,
INC-0050,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,,ZX51,15/10/2022,Jane.Doe@domain.com,5/11/2022 17:17,Incident,Closed,,Site Name 78,05/11/2022 17:17,
INC-0051,Incident,Suspended,Video,PROCESS VOICE SERVICES,,,JD58,15/10/2022,Jane Doe,4/11/2022 12:29,Incident,Closed,,Site Name 79,04/11/2022 12:29,
INC-0052,Incident,Closed,Voice,PROCESS VOICE SERVICES,,2,9GF,15/10/2022,,,Incident,Open,,Site Name 78,23/10/2022 00:00,
INC-0053,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,3,ZX2,16/10/2022,,5/11/2022 0:29,Incident,Closed,,Site Name 77,05/11/2022 00:29,
INC-0054,Incident,Closed,Video,PROCESS MOBILES SERVCES,,2,ZX2,16/10/2022,Jane.Doe@domain.com,,Incident,Open,,,24/10/2022 00:00,
INC-0055,Incident,Suspended,Voice,PROCESS VIDEO SERVICES,,4,JD58,16/10/2022,Jane Doe,4/11/2022 12:29,Incident,Closed,,,04/11/2022 12:29,
INC-0056,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,4,5AD,16/10/2022,Jane.Doe@domain.com,4/11/2022 12:29,Incident,Closed,,,04/11/2022 12:29,
INC-0057,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,2,ZX2,17/10/2022,Jane Doe,,Incident,Open,,0,06/11/2022 00:00,
INC-0058,Incident,Closed,Voice,PROCESS VOICE SERVICES,,2,JD58,17/10/2022,,5/11/2022 0:29,Incident,Closed,,0,05/11/2022 00:29,
INC-0059,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,3,ZX2,17/10/2022,,,Incident,Open,,Site Name 78,26/10/2022 00:00,
INC-0060,Incident,Closed,Video,PROCESS MOBILES SERVCES,,4,9GF,17/10/2022,John Doe,5/11/2022 17:17,Incident,Closed,,Site Name 79,05/11/2022 17:17,
INC-0061,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,3,JD59,18/10/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 80,07/11/2022 00:00,
INC-0062,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,,ZX52,18/10/2022,Jane Doe,,Incident,Open,,Site Name 79,04/11/2022 00:00,
INC-0063,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,,5AD,18/10/2022,John.Doe@domain.com,6/11/2022 11:17,Incident,Closed,,Site Name 78,06/11/2022 11:17,
INC-0064,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,3,5AD,18/10/2022,Jane Doe,,Incident,Open,,,09/11/2022 00:00,
INC-0065,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,4,ZX52,19/10/2022,Jane.Doe@domain.com,6/11/2022 17:17,Incident,Closed,,,06/11/2022 17:17,
INC-0066,Incident,Closed,Video,PROCESS MOBILES SERVCES,,3,JD59,19/10/2022,Jane Doe,5/11/2022 12:29,Incident,Closed,,,05/11/2022 12:29,
INC-0067,Incident,Suspended,Voice,PROCESS VOICE SERVICES,,2,9GF,19/10/2022,Jane.Doe@domain.com,,Incident,Open,,0,31/10/2022 00:00,
INC-0068,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,2,ZX2,19/10/2022,Jane Doe,6/11/2022 0:29,Incident,Closed,,0,06/11/2022 00:29,
INC-0069,Incident,Suspended,Video,PROCESS VIDEO SERVICES,,3,ZX2,20/10/2022,,,Incident,Open,,Site Name 79,31/10/2022 00:00,
INC-0070,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,3,JD59,20/10/2022,,5/11/2022 12:29,Incident,Closed,,Site Name 80,05/11/2022 12:29,
INC-0071,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,4,5AD,20/10/2022,Jane.Doe@domain.com,5/11/2022 12:29,Incident,Closed,,Site Name 81,05/11/2022 12:29,
INC-0072,Incident,Closed,Video,PROCESS VIDEO SERVICES,,2,ZX2,20/10/2022,Jane Doe,,Incident,Open,,Site Name 80,05/11/2022 00:00,
INC-0073,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,4,JD59,21/10/2022,Jane.Doe@domain.com,6/11/2022 0:29,Incident,Closed,,Site Name 79,06/11/2022 00:29,
INC-0074,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,,ZX2,21/10/2022,Jane Doe,,Incident,Open,,,06/11/2022 00:00,
INC-0075,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,,9GF,21/10/2022,,6/11/2022 17:17,Incident,Closed,,,06/11/2022 17:17,
INC-0076,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,4,JD60,21/10/2022,,,Incident,Open,,,07/11/2022 00:00,
INC-0077,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,2,ZX53,22/10/2022,John Doe,,Incident,Open,,0,03/11/2022 00:00,
INC-0078,Incident,Closed,Video,PROCESS VIDEO SERVICES,,4,5AD,22/10/2022,Jane.Doe@domain.com,7/11/2022 11:17,Incident,Closed,,0,07/11/2022 11:17,
INC-0079,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,3,5AD,22/10/2022,Jane Doe,,Incident,Open,,Site Name 80,25/10/2022 00:00,
INC-0080,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,3,ZX53,22/10/2022,John.Doe@domain.com,7/11/2022 17:17,Incident,Closed,,Site Name 81,07/11/2022 17:17,
INC-0081,Incident,Suspended,Video,PROCESS VOICE SERVICES,,4,JD60,23/10/2022,Jane Doe,6/11/2022 12:29,Incident,Closed,,Site Name 82,06/11/2022 12:29,
INC-0082,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,4,9GF,23/10/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 81,14/11/2022 00:00,
INC-0083,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,2,ZX2,23/10/2022,Jane Doe,7/11/2022 0:29,Incident,Closed,,Site Name 80,07/11/2022 00:29,
INC-0084,Incident,Closed,Video,PROCESS VOICE SERVICES,,3,ZX2,23/10/2022,Jane.Doe@domain.com,,Incident,Open,,,08/11/2022 00:00,
INC-0085,Incident,Suspended,Voice,PROCESS VIDEO SERVICES,,2,JD60,24/10/2022,Jane Doe,6/11/2022 12:29,Incident,Closed,,,06/11/2022 12:29,
INC-0086,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,,5AD,24/10/2022,,6/11/2022 12:29,Incident,Closed,,,06/11/2022 12:29,
INC-0087,Incident,Suspended,Video,PROCESS VIDEO SERVICES,,,ZX2,24/10/2022,,,Incident,Open,,0,04/11/2022 00:00,
INC-0088,Incident,Closed,Voice,PROCESS VIDEO SERVICES,,2,JD60,24/10/2022,Jane.Doe@domain.com,7/11/2022 0:29,Incident,Closed,,0,07/11/2022 00:29,
INC-0089,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,3,ZX2,25/10/2022,Jane Doe,,Incident,Open,,Site Name 81,02/11/2022 00:00,
INC-0090,Incident,Closed,Video,PROCESS VOICE SERVICES,,2,9GF,25/10/2022,Jane.Doe@domain.com,7/11/2022 17:17,Incident,Closed,,Site Name 82,07/11/2022 17:17,
INC-0091,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,4,JD61,25/10/2022,Jane Doe,,Incident,Open,,Site Name 83,10/11/2022 00:00,
INC-0092,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,4,ZX54,25/10/2022,,,Incident,Open,,Site Name 82,03/11/2022 00:00,
INC-0093,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,2,5AD,26/10/2022,,8/11/2022 11:17,Incident,Closed,,Site Name 81,08/11/2022 11:17,
INC-0094,Incident,Closed,Voice,PROCESS VIDEO SERVICES,,2,5AD,26/10/2022,John Doe,,Incident,Open,,,06/11/2022 00:00,
INC-0095,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,3,ZX54,26/10/2022,Jane.Doe@domain.com,8/11/2022 17:17,Incident,Closed,,,08/11/2022 17:17,
INC-0096,Incident,Closed,Video,PROCESS MOBILES SERVCES,,4,JD61,26/10/2022,Jane Doe,7/11/2022 12:29,Incident,Closed,,,07/11/2022 12:29,
INC-0097,Incident,Suspended,Voice,PROCESS VOICE SERVICES,,3,9GF,27/10/2022,John.Doe@domain.com,,Incident,Open,,0,29/10/2022 00:00,
INC-0098,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,,ZX2,27/10/2022,Jane Doe,8/11/2022 0:29,Incident,Closed,,0,08/11/2022 00:29,
INC-0099,Incident,Suspended,Video,PROCESS VOICE SERVICES,,,ZX2,27/10/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 82,12/11/2022 00:00,
INC-0100,Incident,Closed,Voice,PROCESS VOICE SERVICES,,3,JD61,27/10/2022,Jane Doe,7/11/2022 12:29,Incident,Closed,,Site Name 83,07/11/2022 12:29,
INC-0101,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,4,5AD,28/10/2022,Jane.Doe@domain.com,7/11/2022 12:29,Incident,Closed,,Site Name 84,07/11/2022 12:29,
INC-0102,Incident,Closed,Video,PROCESS MOBILES SERVCES,,3,ZX2,28/10/2022,Jane Doe,,Incident,Open,,Site Name 83,02/11/2022 00:00,
INC-0103,Incident,Suspended,Voice,PROCESS VIDEO SERVICES,,2,JD61,28/10/2022,,8/11/2022 0:29,Incident,Closed,,Site Name 82,08/11/2022 00:29,
INC-0104,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,2,ZX2,28/10/2022,,,Incident,Open,,,17/11/2022 00:00,
INC-0105,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,3,9GF,29/10/2022,Jane.Doe@domain.com,8/11/2022 17:17,Incident,Closed,,,08/11/2022 17:17,
INC-0106,Incident,Closed,Voice,PROCESS VOICE SERVICES,,3,JD62,29/10/2022,Jane Doe,,Incident,Open,,,14/11/2022 00:00,
INC-0107,Incident,Opened,Mobile,PROCESS MOBILES SERVCES,,4,ZX55,29/10/2022,Jane.Doe@domain.com,,Incident,Open,,0,05/11/2022 00:00,
INC-0108,Incident,Closed,Video,PROCESS MOBILES SERVCES,,2,5AD,29/10/2022,Jane Doe,9/11/2022 11:17,Incident,Closed,,0,09/11/2022 11:17,
INC-0109,Incident,Suspended,Voice,PROCESS MOBILES SERVCES,,4,5AD,30/10/2022,,,Incident,Open,,Site Name 83,07/11/2022 00:00,
INC-0110,Incident,Opened,Mobile,PROCESS VIDEO SERVICES,,,ZX55,30/10/2022,,9/11/2022 17:17,Incident,Closed,,Site Name 84,09/11/2022 17:17,
INC-0111,Incident,Suspended,Video,PROCESS MOBILES SERVCES,,,JD62,30/10/2022,John Doe,8/11/2022 12:29,Incident,Closed,,Site Name 85,08/11/2022 12:29,
INC-0112,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,4,9GF,30/10/2022,Jane.Doe@domain.com,,Incident,Open,,Site Name 84,07/11/2022 00:00,
INC-0113,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,2,ZX2,31/10/2022,Jane Doe,9/11/2022 0:29,Incident,Closed,,Site Name 83,09/11/2022 00:29,
INC-0114,Incident,Closed,Video,PROCESS MOBILES SERVCES,,4,ZX2,31/10/2022,John.Doe@domain.com,,Incident,Open,,,14/11/2022 00:00,
INC-0115,Incident,Suspended,Voice,PROCESS VOICE SERVICES,,3,JD62,31/10/2022,Jane Doe,8/11/2022 12:29,Incident,Closed,,,08/11/2022 12:29,
INC-0116,Incident,Opened,Mobile,PROCESS VOICE SERVICES,,3,5AD,31/10/2022,Jane.Doe@domain.com,8/11/2022 12:29,Incident,Closed,,,08/11/2022 12:29,
INC-0117,Incident,Suspended,Video,PROCESS VIDEO SERVICES,,4,ZX2,1/11/2022,Jane Doe,,Incident,Open,,0,07/11/2022 00:00,
INC-0118,Incident,Closed,Voice,PROCESS MOBILES SERVCES,,4,JD62,1/11/2022,Jane.Doe@domain.com,9/11/2022 0:29,Incident,Closed,,0,09/11/2022 00:29,
